src,relation,dst,extra_json
contract:tools_fp_fn,hasStateVar,statevar:tools_fp_fn.credit,"{""_layers"": [""stage1_ast""]}"
contract:tools_fp_fn,hasStateVar,statevar:tools_fp_fn.a,"{""_layers"": [""stage1_ast""]}"
contract:tools_fp_fn,hasStateVar,statevar:tools_fp_fn.b,"{""_layers"": [""stage1_ast""]}"
contract:tools_fp_fn,hasStateVar,statevar:tools_fp_fn.c,"{""_layers"": [""stage1_ast""]}"
contract:tools_fp_fn,hasStateVar,statevar:tools_fp_fn.amount,"{""_layers"": [""stage1_ast""]}"
contract:tools_fp_fn,hasStateVar,statevar:tools_fp_fn.userBalance,"{""_layers"": [""stage1_ast""]}"
contract:tools_fp_fn,hasFunction,function:tools_fp_fn.non_buggy_1,"{""_layers"": [""stage1_ast""]}"
function:tools_fp_fn.non_buggy_1,hasModifier,modifier:tools_fp_fn.non_buggy_1.1,"{""_layers"": [""stage1_ast""]}"
function:tools_fp_fn.non_buggy_1,containsStmt,stmt:tools_fp_fn.non_buggy_1.1,"{""_layers"": [""stage1_ast""]}"
function:tools_fp_fn.non_buggy_1,entryPointIs,stmt:tools_fp_fn.non_buggy_1.1,"{""_layers"": [""stage1_ast""]}"
function:tools_fp_fn.non_buggy_1,containsStmt,stmt:tools_fp_fn.non_buggy_1.2,"{""_layers"": [""stage1_ast""]}"
stmt:tools_fp_fn.non_buggy_1.1,hasNext,stmt:tools_fp_fn.non_buggy_1.2,"{""_layers"": [""stage1_ast""]}"
stmt:tools_fp_fn.non_buggy_1.2,containsCall,call:tools_fp_fn.non_buggy_1.2.1,"{""_layers"": [""stage1_ast""]}"
stmt:tools_fp_fn.non_buggy_1.2,containsCall,call:tools_fp_fn.non_buggy_1.2.2,"{""_layers"": [""stage1_ast""]}"
function:tools_fp_fn.non_buggy_1,containsStmt,stmt:tools_fp_fn.non_buggy_1.3,"{""_layers"": [""stage1_ast""]}"
stmt:tools_fp_fn.non_buggy_1.2,hasNext,stmt:tools_fp_fn.non_buggy_1.3,"{""_layers"": [""stage1_ast""]}"
stmt:tools_fp_fn.non_buggy_1.3,containsAssignment,assign:tools_fp_fn.non_buggy_1.3.1,"{""_layers"": [""stage1_ast""]}"
contract:tools_fp_fn,hasFunction,function:tools_fp_fn.non_buggy_2,"{""_layers"": [""stage1_ast""]}"
function:tools_fp_fn.non_buggy_2,hasModifier,modifier:tools_fp_fn.non_buggy_2.1,"{""_layers"": [""stage1_ast""]}"
function:tools_fp_fn.non_buggy_2,containsStmt,stmt:tools_fp_fn.non_buggy_2.1,"{""_layers"": [""stage1_ast""]}"
function:tools_fp_fn.non_buggy_2,entryPointIs,stmt:tools_fp_fn.non_buggy_2.1,"{""_layers"": [""stage1_ast""]}"
stmt:tools_fp_fn.non_buggy_2.1,containsRequire,require:tools_fp_fn.non_buggy_2.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:tools_fp_fn.non_buggy_2.1,containsCall,call:tools_fp_fn.non_buggy_2.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:tools_fp_fn.non_buggy_2.1,containsCall,call:tools_fp_fn.non_buggy_2.1.2,"{""_layers"": [""stage1_ast""]}"
function:tools_fp_fn.non_buggy_2,containsStmt,stmt:tools_fp_fn.non_buggy_2.2,"{""_layers"": [""stage1_ast""]}"
stmt:tools_fp_fn.non_buggy_2.1,hasNext,stmt:tools_fp_fn.non_buggy_2.2,"{""_layers"": [""stage1_ast""]}"
stmt:tools_fp_fn.non_buggy_2.2,containsAssignment,assign:tools_fp_fn.non_buggy_2.2.1,"{""_layers"": [""stage1_ast""]}"
contract:tools_fp_fn,hasFunction,function:tools_fp_fn.non_buggy_send,"{""_layers"": [""stage1_ast""]}"
function:tools_fp_fn.non_buggy_send,hasModifier,modifier:tools_fp_fn.non_buggy_send.1,"{""_layers"": [""stage1_ast""]}"
function:tools_fp_fn.non_buggy_send,containsStmt,stmt:tools_fp_fn.non_buggy_send.1,"{""_layers"": [""stage1_ast""]}"
function:tools_fp_fn.non_buggy_send,entryPointIs,stmt:tools_fp_fn.non_buggy_send.1,"{""_layers"": [""stage1_ast""]}"
stmt:tools_fp_fn.non_buggy_send.1,containsAssignment,assign:tools_fp_fn.non_buggy_send.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:tools_fp_fn.non_buggy_send.1,containsCall,call:tools_fp_fn.non_buggy_send.1.1,"{""_layers"": [""stage1_ast""]}"
contract:tools_fp_fn,hasFunction,function:tools_fp_fn.non_buggy_call,"{""_layers"": [""stage1_ast""]}"
function:tools_fp_fn.non_buggy_call,hasModifier,modifier:tools_fp_fn.non_buggy_call.1,"{""_layers"": [""stage1_ast""]}"
function:tools_fp_fn.non_buggy_call,containsStmt,stmt:tools_fp_fn.non_buggy_call.1,"{""_layers"": [""stage1_ast""]}"
function:tools_fp_fn.non_buggy_call,entryPointIs,stmt:tools_fp_fn.non_buggy_call.1,"{""_layers"": [""stage1_ast""]}"
stmt:tools_fp_fn.non_buggy_call.1,containsAssignment,assign:tools_fp_fn.non_buggy_call.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:tools_fp_fn.non_buggy_call.1,containsCall,call:tools_fp_fn.non_buggy_call.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:tools_fp_fn.non_buggy_call.1,containsCall,call:tools_fp_fn.non_buggy_call.1.2,"{""_layers"": [""stage1_ast""]}"
contract:tools_fp_fn,hasFunction,function:tools_fp_fn.buggy_multi_call,"{""_layers"": [""stage1_ast""]}"
function:tools_fp_fn.buggy_multi_call,hasModifier,modifier:tools_fp_fn.buggy_multi_call.1,"{""_layers"": [""stage1_ast""]}"
function:tools_fp_fn.buggy_multi_call,containsStmt,stmt:tools_fp_fn.buggy_multi_call.1,"{""_layers"": [""stage1_ast""]}"
function:tools_fp_fn.buggy_multi_call,entryPointIs,stmt:tools_fp_fn.buggy_multi_call.1,"{""_layers"": [""stage1_ast""]}"
stmt:tools_fp_fn.buggy_multi_call.1,containsRequire,require:tools_fp_fn.buggy_multi_call.1.1,"{""_layers"": [""stage1_ast""]}"
function:tools_fp_fn.buggy_multi_call,containsStmt,stmt:tools_fp_fn.buggy_multi_call.2,"{""_layers"": [""stage1_ast""]}"
