node_id,node_type,identifier,source_file,contract_name,function_name,line_start,line_end,extra_json
contract:tools_fp_fn,Contract,tools_fp_fn,tools_fp_fn.sol,tools_fp_fn,,3,60,"{""_layers"": [""stage1_ast""], ""ast_id"": 276, ""src"": ""25:1643:0"", ""contractKind"": ""contract"", ""original_contract_name"": ""SimpleDAO""}"
statevar:tools_fp_fn.credit,StateVar,credit,tools_fp_fn.sol,tools_fp_fn,,4,4,"{""_layers"": [""stage1_ast""], ""ast_id"": 5, ""src"": ""50:39:0"", ""type"": ""mapping(address => uint256)"", ""visibility"": ""public""}"
statevar:tools_fp_fn.a,StateVar,a,tools_fp_fn.sol,tools_fp_fn,,5,5,"{""_layers"": [""stage1_ast""], ""ast_id"": 7, ""src"": ""95:13:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:tools_fp_fn.b,StateVar,b,tools_fp_fn.sol,tools_fp_fn,,6,6,"{""_layers"": [""stage1_ast""], ""ast_id"": 9, ""src"": ""114:13:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:tools_fp_fn.c,StateVar,c,tools_fp_fn.sol,tools_fp_fn,,7,7,"{""_layers"": [""stage1_ast""], ""ast_id"": 11, ""src"": ""133:13:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:tools_fp_fn.amount,StateVar,amount,tools_fp_fn.sol,tools_fp_fn,,8,8,"{""_layers"": [""stage1_ast""], ""ast_id"": 13, ""src"": ""152:18:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:tools_fp_fn.userBalance,StateVar,userBalance,tools_fp_fn.sol,tools_fp_fn,,9,9,"{""_layers"": [""stage1_ast""], ""ast_id"": 17, ""src"": ""176:37:0"", ""type"": ""mapping(address => uint256)"", ""visibility"": ""internal""}"
function:tools_fp_fn.non_buggy_1,Function,non_buggy_1,tools_fp_fn.sol,tools_fp_fn,non_buggy_1,11,15,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 47, ""src"": ""220:148:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""SimpleDAO""}"
modifier:tools_fp_fn.non_buggy_1.1,Modifier,modifier_1,tools_fp_fn.sol,tools_fp_fn,non_buggy_1,11,15,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:tools_fp_fn.non_buggy_1.1,Stmt,stmt_1,tools_fp_fn.sol,tools_fp_fn,non_buggy_1,12,12,"{""_layers"": [""stage1_ast""], ""ast_id"": 26, ""src"": ""260:27:0"", ""stmt_kind"": ""VariableDeclarationStatement""}"
stmt:tools_fp_fn.non_buggy_1.2,Stmt,stmt_2,tools_fp_fn.sol,tools_fp_fn,non_buggy_1,13,13,"{""_layers"": [""stage1_ast""], ""ast_id"": 38, ""src"": ""297:28:0"", ""stmt_kind"": ""ExpressionStatement""}"
call:tools_fp_fn.non_buggy_1.2.1,FunctionCall,call,tools_fp_fn.sol,tools_fp_fn,non_buggy_1,13,13,"{""_layers"": [""stage1_ast""], ""ast_id"": 37, ""src"": ""297:28:0""}"
call:tools_fp_fn.non_buggy_1.2.2,FunctionCall,value,tools_fp_fn.sol,tools_fp_fn,non_buggy_1,13,13,"{""_layers"": [""stage1_ast""], ""ast_id"": 35, ""src"": ""297:24:0""}"
stmt:tools_fp_fn.non_buggy_1.3,Stmt,stmt_3,tools_fp_fn.sol,tools_fp_fn,non_buggy_1,14,14,"{""_layers"": [""stage1_ast""], ""ast_id"": 45, ""src"": ""335:26:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:tools_fp_fn.non_buggy_1.3.1,Assignment,assign_3_1,tools_fp_fn.sol,tools_fp_fn,non_buggy_1,14,14,"{""_layers"": [""stage1_ast""], ""ast_id"": 44, ""src"": ""335:26:0"", ""operator"": ""-="", ""type"": ""uint256""}"
function:tools_fp_fn.non_buggy_2,Function,non_buggy_2,tools_fp_fn.sol,tools_fp_fn,non_buggy_2,16,19,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 75, ""src"": ""373:145:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""SimpleDAO""}"
modifier:tools_fp_fn.non_buggy_2.1,Modifier,modifier_1,tools_fp_fn.sol,tools_fp_fn,non_buggy_2,16,19,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:tools_fp_fn.non_buggy_2.1,Stmt,stmt_1,tools_fp_fn.sol,tools_fp_fn,non_buggy_2,17,17,"{""_layers"": [""stage1_ast""], ""ast_id"": 66, ""src"": ""413:62:0"", ""stmt_kind"": ""ExpressionStatement""}"
require:tools_fp_fn.non_buggy_2.1.1,Require,require,tools_fp_fn.sol,tools_fp_fn,non_buggy_2,17,17,"{""_layers"": [""stage1_ast""], ""ast_id"": 65, ""src"": ""413:62:0""}"
call:tools_fp_fn.non_buggy_2.1.1,FunctionCall,call,tools_fp_fn.sol,tools_fp_fn,non_buggy_2,17,17,"{""_layers"": [""stage1_ast""], ""ast_id"": 57, ""src"": ""421:26:0""}"
call:tools_fp_fn.non_buggy_2.1.2,FunctionCall,value,tools_fp_fn.sol,tools_fp_fn,non_buggy_2,17,17,"{""_layers"": [""stage1_ast""], ""ast_id"": 56, ""src"": ""421:24:0""}"
stmt:tools_fp_fn.non_buggy_2.2,Stmt,stmt_2,tools_fp_fn.sol,tools_fp_fn,non_buggy_2,18,18,"{""_layers"": [""stage1_ast""], ""ast_id"": 73, ""src"": ""485:26:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:tools_fp_fn.non_buggy_2.2.1,Assignment,assign_2_1,tools_fp_fn.sol,tools_fp_fn,non_buggy_2,18,18,"{""_layers"": [""stage1_ast""], ""ast_id"": 72, ""src"": ""485:26:0"", ""operator"": ""-="", ""type"": ""uint256""}"
function:tools_fp_fn.non_buggy_send,Function,non_buggy_send,tools_fp_fn.sol,tools_fp_fn,non_buggy_send,20,24,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 100, ""src"": ""523:164:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""SimpleDAO""}"
modifier:tools_fp_fn.non_buggy_send.1,Modifier,modifier_1,tools_fp_fn.sol,tools_fp_fn,non_buggy_send,20,24,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:tools_fp_fn.non_buggy_send.1,Stmt,stmt_1,tools_fp_fn.sol,tools_fp_fn,non_buggy_send,21,23,"{""_layers"": [""stage1_ast""], ""ast_id"": 98, ""src"": ""565:108:0"", ""stmt_kind"": ""IfStatement""}"
assign:tools_fp_fn.non_buggy_send.1.1,Assignment,assign_1_1,tools_fp_fn.sol,tools_fp_fn,non_buggy_send,22,22,"{""_layers"": [""stage1_ast""], ""ast_id"": 95, ""src"": ""635:27:0"", ""operator"": ""="", ""type"": ""uint256""}"
call:tools_fp_fn.non_buggy_send.1.1,FunctionCall,send,tools_fp_fn.sol,tools_fp_fn,non_buggy_send,21,21,"{""_layers"": [""stage1_ast""], ""ast_id"": 82, ""src"": ""569:18:0""}"
function:tools_fp_fn.non_buggy_call,Function,non_buggy_call,tools_fp_fn.sol,tools_fp_fn,non_buggy_call,26,30,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 127, ""src"": ""693:172:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""SimpleDAO""}"
