node_id,node_type,identifier,source_file,contract_name,function_name,line_start,line_end,extra_json
contract:simple_dao,Contract,simple_dao,simple_dao.sol,simple_dao,,9,27,"{""_layers"": [""stage1_ast""], ""ast_id"": 62, ""src"": ""162:422:0"", ""contractKind"": ""contract"", ""original_contract_name"": ""SimpleDAO""}"
statevar:simple_dao.credit,StateVar,credit,simple_dao.sol,simple_dao,,10,10,"{""_layers"": [""stage1_ast""], ""ast_id"": 5, ""src"": ""185:39:0"", ""type"": ""mapping(address => uint256)"", ""visibility"": ""public""}"
function:simple_dao.donate,Function,donate,simple_dao.sol,simple_dao,donate,12,14,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 18, ""src"": ""229:70:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""payable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""SimpleDAO""}"
modifier:simple_dao.donate.1,Modifier,modifier_1,simple_dao.sol,simple_dao,donate,12,14,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:simple_dao.donate.1,Stmt,stmt_1,simple_dao.sol,simple_dao,donate,13,13,"{""_layers"": [""stage1_ast""], ""ast_id"": 16, ""src"": ""271:23:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:simple_dao.donate.1.1,Assignment,assign_1_1,simple_dao.sol,simple_dao,donate,13,13,"{""_layers"": [""stage1_ast""], ""ast_id"": 15, ""src"": ""271:23:0"", ""operator"": ""+="", ""type"": ""uint256""}"
function:simple_dao.withdraw,Function,withdraw,simple_dao.sol,simple_dao,withdraw,16,22,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 49, ""src"": ""303:200:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""SimpleDAO""}"
modifier:simple_dao.withdraw.1,Modifier,modifier_1,simple_dao.sol,simple_dao,withdraw,16,22,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:simple_dao.withdraw.1,Stmt,stmt_1,simple_dao.sol,simple_dao,withdraw,17,21,"{""_layers"": [""stage1_ast""], ""ast_id"": 47, ""src"": ""340:159:0"", ""stmt_kind"": ""IfStatement""}"
assign:simple_dao.withdraw.1.1,Assignment,assign_1_1,simple_dao.sol,simple_dao,withdraw,20,20,"{""_layers"": [""stage1_ast""], ""ast_id"": 44, ""src"": ""466:26:0"", ""operator"": ""-="", ""type"": ""uint256""}"
call:simple_dao.withdraw.1.1,FunctionCall,call,simple_dao.sol,simple_dao,withdraw,19,19,"{""_layers"": [""stage1_ast""], ""ast_id"": 37, ""src"": ""427:31:0""}"
