src,relation,dst,extra_json
contract:simple_dao,hasStateVar,statevar:simple_dao.credit,"{""_layers"": [""stage1_ast""]}"
contract:simple_dao,hasFunction,function:simple_dao.donate,"{""_layers"": [""stage1_ast""]}"
function:simple_dao.donate,hasModifier,modifier:simple_dao.donate.1,"{""_layers"": [""stage1_ast""]}"
function:simple_dao.donate,containsStmt,stmt:simple_dao.donate.1,"{""_layers"": [""stage1_ast""]}"
function:simple_dao.donate,entryPointIs,stmt:simple_dao.donate.1,"{""_layers"": [""stage1_ast""]}"
stmt:simple_dao.donate.1,containsAssignment,assign:simple_dao.donate.1.1,"{""_layers"": [""stage1_ast""]}"
contract:simple_dao,hasFunction,function:simple_dao.withdraw,"{""_layers"": [""stage1_ast""]}"
function:simple_dao.withdraw,hasModifier,modifier:simple_dao.withdraw.1,"{""_layers"": [""stage1_ast""]}"
function:simple_dao.withdraw,containsStmt,stmt:simple_dao.withdraw.1,"{""_layers"": [""stage1_ast""]}"
function:simple_dao.withdraw,entryPointIs,stmt:simple_dao.withdraw.1,"{""_layers"": [""stage1_ast""]}"
stmt:simple_dao.withdraw.1,containsAssignment,assign:simple_dao.withdraw.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:simple_dao.withdraw.1,containsCall,call:simple_dao.withdraw.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:simple_dao.withdraw.1,containsCall,call:simple_dao.withdraw.1.2,"{""_layers"": [""stage1_ast""]}"
contract:simple_dao,hasFunction,function:simple_dao.queryCredit,"{""_layers"": [""stage1_ast""]}"
function:simple_dao.queryCredit,hasModifier,modifier:simple_dao.queryCredit.1,"{""_layers"": [""stage1_ast""]}"
function:simple_dao.queryCredit,containsStmt,stmt:simple_dao.queryCredit.1,"{""_layers"": [""stage1_ast""]}"
function:simple_dao.queryCredit,entryPointIs,stmt:simple_dao.queryCredit.1,"{""_layers"": [""stage1_ast""]}"
assign:simple_dao.donate.1.1,writesStateVar,statevar:simple_dao.credit,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""credit"", ""index"": ""to"", ""evidence_ref"": ""raw_ir:simple_dao.donate.1""}"
statewrite:simple_dao.donate.1,targetsStateVar,statevar:simple_dao.credit,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""credit"", ""index"": ""to"", ""evidence_ref"": ""raw_ir:simple_dao.donate.1""}"
