src,relation,dst,extra_json
contract:buggy_24,hasStateVar,statevar:buggy_24.ONE_ETH,"{""_layers"": [""stage1_ast""]}"
contract:buggy_24,hasStateVar,statevar:buggy_24.ONE_DAY,"{""_layers"": [""stage1_ast""]}"
contract:buggy_24,hasStateVar,statevar:buggy_24.GENESIS_USER_ADDRESS,"{""_layers"": [""stage1_ast""]}"
contract:buggy_24,hasStateVar,statevar:buggy_24.ENGINEER_ADDRESS,"{""_layers"": [""stage1_ast""]}"
contract:buggy_24,hasStateVar,statevar:buggy_24.initialized,"{""_layers"": [""stage1_ast""]}"
contract:buggy_24,hasStateVar,statevar:buggy_24.owner,"{""_layers"": [""stage1_ast""]}"
contract:buggy_24,hasStateVar,statevar:buggy_24.redeemableEther_re_ent18,"{""_layers"": [""stage1_ast""]}"
contract:buggy_24,hasStateVar,statevar:buggy_24.totalInvestCount,"{""_layers"": [""stage1_ast""]}"
contract:buggy_24,hasStateVar,statevar:buggy_24.balances_re_ent29,"{""_layers"": [""stage1_ast""]}"
contract:buggy_24,hasStateVar,statevar:buggy_24.totalInvestAmount,"{""_layers"": [""stage1_ast""]}"
contract:buggy_24,hasStateVar,statevar:buggy_24.not_called_re_ent6,"{""_layers"": [""stage1_ast""]}"
contract:buggy_24,hasStateVar,statevar:buggy_24.totalStaticCommissionWithdrawAmount,"{""_layers"": [""stage1_ast""]}"
contract:buggy_24,hasStateVar,statevar:buggy_24.lastPlayer_re_ent16,"{""_layers"": [""stage1_ast""]}"
contract:buggy_24,hasStateVar,statevar:buggy_24.jackpot_re_ent16,"{""_layers"": [""stage1_ast""]}"
contract:buggy_24,hasStateVar,statevar:buggy_24.totalDynamicCommissionWithdrawAmount,"{""_layers"": [""stage1_ast""]}"
contract:buggy_24,hasStateVar,statevar:buggy_24.balances_re_ent24,"{""_layers"": [""stage1_ast""]}"
contract:buggy_24,hasStateVar,statevar:buggy_24.totalWithdrawAmount,"{""_layers"": [""stage1_ast""]}"
contract:buggy_24,hasStateVar,statevar:buggy_24.userBalance_re_ent5,"{""_layers"": [""stage1_ast""]}"
contract:buggy_24,hasStateVar,statevar:buggy_24.totalUserCount,"{""_layers"": [""stage1_ast""]}"
contract:buggy_24,hasStateVar,statevar:buggy_24.balances_re_ent15,"{""_layers"": [""stage1_ast""]}"
contract:buggy_24,hasStateVar,statevar:buggy_24.engineerFunds,"{""_layers"": [""stage1_ast""]}"
contract:buggy_24,hasStateVar,statevar:buggy_24.counter_re_ent28,"{""_layers"": [""stage1_ast""]}"
contract:buggy_24,hasStateVar,statevar:buggy_24.engineerWithdrawAmount,"{""_layers"": [""stage1_ast""]}"
contract:buggy_24,hasStateVar,statevar:buggy_24.not_called_re_ent34,"{""_layers"": [""stage1_ast""]}"
contract:buggy_24,hasStateVar,statevar:buggy_24.operatorFunds,"{""_layers"": [""stage1_ast""]}"
contract:buggy_24,hasStateVar,statevar:buggy_24.counter_re_ent21,"{""_layers"": [""stage1_ast""]}"
