node_id,node_type,identifier,source_file,contract_name,function_name,line_start,line_end,extra_json
contract:buggy_41,Contract,buggy_41,buggy_41.sol,buggy_41,,15,302,"{""_layers"": [""stage1_ast""], ""ast_id"": 930, ""src"": ""313:10995:0"", ""contractKind"": ""contract"", ""original_contract_name"": ""AO""}"
statevar:buggy_41.not_called_re_ent20,StateVar,not_called_re_ent20,buggy_41.sol,buggy_41,,17,17,"{""_layers"": [""stage1_ast""], ""ast_id"": 16, ""src"": ""366:31:0"", ""type"": ""bool"", ""visibility"": ""internal""}"
statevar:buggy_41.name,StateVar,name,buggy_41.sol,buggy_41,,25,25,"{""_layers"": [""stage1_ast""], ""ast_id"": 42, ""src"": ""591:18:0"", ""type"": ""string"", ""visibility"": ""public""}"
statevar:buggy_41.redeemableEther_re_ent32,StateVar,redeemableEther_re_ent32,buggy_41.sol,buggy_41,,26,26,"{""_layers"": [""stage1_ast""], ""ast_id"": 46, ""src"": ""613:49:0"", ""type"": ""mapping(address => uint256)"", ""visibility"": ""internal""}"
statevar:buggy_41.symbol,StateVar,symbol,buggy_41.sol,buggy_41,,34,34,"{""_layers"": [""stage1_ast""], ""ast_id"": 83, ""src"": ""1011:20:0"", ""type"": ""string"", ""visibility"": ""public""}"
statevar:buggy_41.balances_re_ent38,StateVar,balances_re_ent38,buggy_41.sol,buggy_41,,35,35,"{""_layers"": [""stage1_ast""], ""ast_id"": 87, ""src"": ""1035:42:0"", ""type"": ""mapping(address => uint256)"", ""visibility"": ""internal""}"
statevar:buggy_41.decimals,StateVar,decimals,buggy_41.sol,buggy_41,,42,42,"{""_layers"": [""stage1_ast""], ""ast_id"": 120, ""src"": ""1365:26:0"", ""type"": ""uint8"", ""visibility"": ""public""}"
statevar:buggy_41.redeemableEther_re_ent4,StateVar,redeemableEther_re_ent4,buggy_41.sol,buggy_41,,44,44,"{""_layers"": [""stage1_ast""], ""ast_id"": 124, ""src"": ""1467:48:0"", ""type"": ""mapping(address => uint256)"", ""visibility"": ""internal""}"
statevar:buggy_41.totalSupply,StateVar,totalSupply,buggy_41.sol,buggy_41,,52,52,"{""_layers"": [""stage1_ast""], ""ast_id"": 161, ""src"": ""1858:26:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:buggy_41.counter_re_ent7,StateVar,counter_re_ent7,buggy_41.sol,buggy_41,,55,55,"{""_layers"": [""stage1_ast""], ""ast_id"": 164, ""src"": ""1936:26:0"", ""type"": ""uint256"", ""visibility"": ""internal""}"
statevar:buggy_41.balanceOf,StateVar,balanceOf,buggy_41.sol,buggy_41,,63,63,"{""_layers"": [""stage1_ast""], ""ast_id"": 194, ""src"": ""2144:45:0"", ""type"": ""mapping(address => uint256)"", ""visibility"": ""public""}"
statevar:buggy_41.lastPlayer_re_ent23,StateVar,lastPlayer_re_ent23,buggy_41.sol,buggy_41,,64,64,"{""_layers"": [""stage1_ast""], ""ast_id"": 196, ""src"": ""2193:35:0"", ""type"": ""address payable"", ""visibility"": ""internal""}"
